"Text","Sentiment"
"Yukk sama-sama bahu membahu membantuu pemerintah memutus rantaii covid-19 dan memutus rantai kebenciann. Supaya indonesia normal kembali","Positive"
"Yuk sahabat kita samasama menjaga jarak antar manusia&lebih banyak melakukan kegiatan dirumah, sesuai kebijakan dari Pemerintah Indonesia untuk Mencegah penularan virus Corona / Covid-19.

melalui :
http://simpulkebaikan.idÂ 
@baznasindonesia
@baznasbazis
#BersamaCegahCoronapic.twitter.com/pZ5O7ppWls","Positive"
"Yuk sahabat kita sama sama menjaga jarak antar manusia dan lebih banyak melakukan kegiatan dirumah, sesuai dengan kebijakan dari Pemerintah Indonesia untuk Mencegah penularan virus Corona / Covid-19.
Stay Safe, Stay Strong, and Stay Together #BersamaCegahCoronapic.twitter.com/z9rpW55OBi","Positive"
"yuk pemerintah & penduduk Indonesia kasih wawasan & informasi kepada masyarakat awam mengenai covid 19, supaya nggak ada lagi diskriminasi pada pasien, keluarga & jenazah covid 19

jangan jadi tolol yang berkepanjangan gara gara virus sialan ini! #BersatuUsirCorona #dirumahaja","Positive"
"Yuk gaesss ikuti aturan atau kebijakan pemerintah yang memang kita diharuskan #SocialDistancing dan #DiRumahAja dulu
.
KasusÂ virus coronaÂ Covid-19 di Indonesia terus bertambah. Data hari Senin (23/3/2020), jumlahâ€¦ https://www.instagram.com/p/B-GU55-p4ag/?igshid=12cz2i3zyqvaoÂ â€¦","Positive"
"Pemerintah dalam memberlakukan kebijakan adalah utk seluruh warga negara Indonesia. Ayo Bersama Dukung Pemerintah Melawan Covid-19
PLN sangat mendukung pelaksanakan kebijakan Pemerintah yg disampaikan oleh Presiden Joko Widodo,â€ (Direktur Utama PLN Zulkifli) @mediaindonesiahttps://twitter.com/msaid_didu/status/1244934042450948097Â â€¦","Positive"
"Pemerintah bukan tidak peduli tentang banyak nya kasus baru setiap hari nya, tapi yang di fikirkan pemerintah adalah dampak jangka panjang untuk kesejahteraan rakyat nya. Kalau lockdown nanti yang miskin makin miskin, yang kaya jadi miskin. Kan nanti negara juga yang repot","Positive"
"Pemerintah buat aturan ini bukan untuk kepentingan pribadi, tapi untuk kita semua untuk indonesia, biar Negara kita bebas dgn virus Covid-19 ini, ayolah kesadaran diri kalian, bantu kami (tenaga medis) dgn cara dirumah aja.","Positive"
"Pemberlakuan Pembatasan Sosiaka Berskala Besar.. Setidaknya Pemerintah sudah mengeluarkan sebuah kebijakan untuk mengatasi penyebaran Virus Covid 19 di Indonesia.. #VirusCorona #IndonesiaLawanCovid19 #SatukanVisiCekalCoronapic.twitter.com/bdB3T139q0","Positive"
"Pembatasan sosial oleh pemerintah, semoga menumbuhkan jiwa da solidaritas sosial antar sesama masyarakat indonesia untuk memerangi covid-19.
Ayo saatnya bersatu utk NKRI.","Positive"
"Pembatasan Sosial Berskala Besar (PSBB) merupakan upaya pemerintah dalam rangka memutus rantai penyebaran virus dan percepatan penanganan covid -19 di Indonesia
#dirumahaja demi kebaikan bersama kan?
#BersamaLawanCovid19pic.twitter.com/XCCiUF8qZy","Positive"
"Pastilah pemerintah sudah memikirkan dampak dari pemberlakuan lockdown, makanya pemerintah pasti ga mau membabi buta umumkan status darurat...bukannya ga mau transparan atau hanya mementingkan ekonomi. Lebih dari itu semua aspek di pertimbangkan.","Positive"
"Pasti salah survey nya nih...masa didunia Indonesia mantap krena kepercayaan rakyat penanganan Virus #Covid_19 oleh Pak Jokowi dan pemerintah 80% sedangkan para #BangsatBangsa menghujat
#KeepStrongMyPresident
#KeepTheFaith
#KeepYourDistancepic.twitter.com/hJ7R7z6Cmu","Positive"
"Para Covid 19 segera mudik...Indonesia aman...ayoo...kita usir mereka dengan Patuhi Himbauan Pemerintah
#jatimbergerak #jatim #lawancovid19 #jatimsehat #poldajatim #humaspoldajatim #kabidhumaspoldajatim #kabidhumas #poldajatim #jolaliguyublur #guyublur #jogojawatimur #guyubpic.twitter.com/pmewelI5WA","Positive"
"padahal harus #SocialDistancing untuk menghindari keramaian buat mencegah virus Covid-19 tapi di Indonesia malah dibuat ajang liburan corona. Nanti pas terjangkit virus nya malah nyalahin pemerintah, bilang gk melakukan pencegahan.. https://twitter.com/recehrecehvideo/status/1240077632739225600Â â€¦","Positive"
"pada gampang banget dah ngomong lockdown. padahal semua ada rute-nya. bukan ngomongin gaada kemanusiaanya, tapi dampak setelah lockdown juga bahaya. bahkan lebih bahaya daripada corona
sedangkan, negara kita ini emang bisa dibilang belum siap buat nerapin lockdown","Positive"
"Pa Jokowi pasti telah banyak melakukan simulasi Lockdown total wilayah ini dan melihat apa dampak yang akan terjadi.Makanya Pa Jokowi ga akan melakukannya.    

https://m.cnnindonesia.com/nasional/20200329121914-20-487985/mui-sarankan-jokowi-segera-lockdown-total-indonesiaÂ â€¦","Positive"
"Otaknya dipantat yg divideo itu..tangkap org itu pa polisi..gk ngrti dampak yg sngt buruk dri lockdown..hingga mau jd profokator..","Positive"
"Orang2 pada heran dengan angka statistik Covid-19 di Indonesia. Padahal kan Pak Yuri udah bilang di channel Om Deddy kalo pemerintah emang mengatur data, tapi mereka juga ga akan bohong. Jadi menurut gw emang datanya bakal dikeluarin dikit2 aja sesuai keadaan yg diinginkan~","Positive"
"Orang"" seperti ini sebenernya udah paham dampak lockdown jika diterapkan di Indonesia, ketika pada masanya negara sudah chaos dan lumpuh karena lockdown corona, mereka akan lantang berteriak ""tinggalkan sistem gagal thogut, kembali pada fitrah illahiah, tegakkan khilafah""","Positive"
"Mhn jelaskan kpd orang2 lain, spy semua patuh, pemerintah terbantu untuk stop penularan Covid-19, jika tidak, maka 14 hari libur itu percuma, 14 thn pun tak bs stop penularan.
Semoga Indonesia kuat.
Keep Pray
Keep Calm
Stay Safe @tribuntimur
@SupirPete2 #pencegahanviruscorona","Positive"
"Meski dpt desakan Pak @Jokowi tdk frontal menerapkan Lock Down. Berhitung dgn cermat dampak ekonomi & sosialnya meski diejek sbg ""pemimpin tdk tegas"". Kasus India bs jd pelajaran bgmn Lock Down jd bumerang.
https://reut.rs/2wB3t2AÂ ","Positive"
"Meski banyak yg belum baik tapi aku ttp suport pemerintah untuk menyelesaikan kasus covid 19 ini !! Yok semangat yo indonesia sehat yokkk","Positive"
"Merinding melihat keoptimisan pasien yang berjibaku melawan Covid-19. Alhamdulillah masih ada asa untuk menghilangkan virus ini dari Indonesia. Doa dari para Ustadz/Ustadzah, masyarakat, dan pemerintah untuk kesembuhan Indonesia. #CoronaBisaDisembuhkan","Positive"
"Mereka gak berpikir kalao totally lockdown Indonesia negara kepulauan yg semuanya banyak bergantung dari Jawa. Apa yang diputuskan pemerintah itulah yang terbaik bagi rakyat-nya dan jangan terpengaruh oleh koar2 ahli dadakan. Semoga COVID-19 segera berlalu... Badai pasti berlalu.","Positive"
"Menyalahkan pemimpin kami atas nama pandemi. Teriak lockdown tanpa memikirkan dampak yang akan terjadi, egois ya ?","Positive"
"Menurutku ini udah keputsan paling tepat buat negara yang bergantung sama investasi dimana kalo bener2 di lockdown mungkin dampak ekonominya gede buat kita dan negara kepulauan yg dimana pulau jawa punya peran penting di perekonomian, ya pasti pertimbanganya banyak.","Positive"
"Menanggapi wabah pandemi Covid-19 yang terjadi di negeri ini. Saya Luthfi Haekal Munawar siap melaksanakan himbauan pemerintah Republik Indonesia untuk tetap #dirumahaja sebagai bentuk upaya memutus rantai penularanâ€¦ https://www.instagram.com/p/B-O63ezDqpl/?igshid=1xuere82c7o6xÂ â€¦","Positive"
"Menanggapi perkembangan pandemik COVID-19 di Indonesia.

Kami turut membantu upaya Pemerintah dengan menghimbau teman-teman untuk trading #dirumahaja sebagai upaya preventif mencegah tersebar luasnya Covid-19. pic.twitter.com/hME1nlPIbD","Positive"
"Melakukan apapun. Jangan terlalu takut yg penting kita harus waspada.sebagai army Indonesia kita harus melawan COVID 19 ini dan jangan terlalu gegabah dan saya sangat bersyukur bahwa pemerintah bertindak secara cepat dan saya ada mendengar bahwa pemerintah sudah menemukan vaksin","Positive"
"Maunya Anies ya dilockdown, krn dampak ke warga jakarta tdk terlalu dihiraukan, liat aja banjir, selowww. Seandainya jakarta lockdown, ekonomi makro akan berimbas besar. Yg buruk diluhat pasti presidennya. Lihat aja Wuhan, knp Beijing steril?'padahal masih area RRC.","Positive"
"Mau sedikit cerita ni. menanggapi kasus covid 19(korona) yg sudah menjadi pandemik di dunia dan khususnya di indonesia, pemerintah pastinya sedang berusaha melakukan pencegahan dan penanganannya","Positive"
"Mau rt ini beribu kali. Setuju aku sama kakak. Kita emang harus bener2 pikirin dampak dari lockdown itu. Jangan sampe udah koar2 minta lockdown tapi pas udah kena dampaknya malah marah2 balik lagi nyalahin pemerintah.","Positive"
"Mau dibantu atau dibeli yang terpenting pemerintah RI telah berjuang untuk menyediakan perlengkapan alat kesehatan bagi para medis demi pencegahan dan penanganan wabah Covid-19 yang optimal. Terima kasih.","Positive"
"Masyarakat Indonesia itu literasi rendah, kalau dibilangin ngeyel dengan berdasarkan ""Jarene/Katanya"". 
Dan sok-sokan meremehkan. Kalau sudah meledak di puncak covid-19 cepet-cepet deh salahin pemerintah.

Semoga segera selesai wabah ini. Dan Indonesia segera bangkit.aamiin.","Positive"
"Masyarakat Indonesia berharap tak ada lagi polemik tentang penanganan COVID-19 , Marilah bersama sebagai bangsa berhati besar kita bersatu membantu Pemerintah menyetop serangan COVID-19 di Indonesia. Caranya : mulai dari mematuhi anjuran s/d memberi bantuan secara finansial.","Positive"
"Masyarakat harus sangat aktif berpartisipasi dengan himbauan pemerintah ya. Tetap dirumah saja, tolong. COVID-19 bisa teratasi kalau kita berkerjasama. Jangan sampai ada korban corona lagi di Indonesia. Semoga pandemi ini segera berlalu","Positive"
"Masihkah kita mencaci - maki kesigapan dan kebijakan pemerintah Indonesia dalam menangani covid-19 Mulai dari setingkat kelurahan sampai ketingkat pusat , indonesia sudah siap brow... @ Jimbaran Blater Ungaran https://www.instagram.com/p/B9-T5FFgd8r/?igshid=pus8ffrefy9Â â€¦","Positive"
"Masihkah kita mencaci - maki kesigapan dan kebijakan pemerintah Indonesia dalam menangani covid-19 Mulai dari setingkat kelurahan sampai ketingkat pusat , indonesia sudah siap brow... @ Jimbaran Blater Ungaran https://www.instagram.com/p/B9-T5FFgd8r/?igshid=pus8ffrefy9Â â€¦","Positive"
"Masih percaya pemerintah berusaha yang terbaik untuk melawan wabah Covid-19 ..... 
Bismillah Indonesia pasti mampu melewati badai besar ini ","Positive"
"Masi aja ya cari cari jeleknya kerja pemerintah disituasi kaya gini, pdhl kelen juga prnh bikin jokes kalau indonesia ini kebal corona trs sekarang ada yg posituf covid-19 dan naiknya drastis ditambah yg meninggal sama yang sembuh lebih banyak yang meninggal","Positive"
"Marilah kita senantiasa mensyukuri nikmat hidup di Indonesia dgn UUD dan Pancasila. Satukan tangan dan hati kita melawan Covid-19 dgn ikuti anjuran Pemerintah.  https://twitter.com/PretiWn/status/1248076347257184258Â â€¦","Positive"
"Marilah Jaga Kesehatan.

Atur pernafasan dan banyak ibadah serta ikuti aturan pemerintah. Sebab kita tdk tau, kapan, bagaimana dan dimana kita meninggal.
Mari kita ciptakan Indonesia Bebas CoVID-19.","Positive"
"Marilah bersama-sama ikuti dan taati himbauan kepolisian dan pemerintah. Demi kita, demi keluarga kita, demi bangsa Indonesia #Covid_19 #LawanCovid19 #polricegahcovidpic.twitter.com/tuF4XhExR5","Positive"
"Mari saling memberi solusi kepada pemerintah utk mengantisipasi virus covid 19

Bukan saling menggueurui bukan saling mencari muka

Bukan saling pencitraan karna Indonesia adalah Negara ini Negara yg kita cintai...","Positive"
"Mari rakyat indonesia kita bersatu untuk melawan covid-19 dengan arahan dari pemerintah, abaikan mreka yang mencampurkan kemanusian dengan kepentingan politiknya.

#bersatuatasnamakemanusian","Positive"
"Mari kita semua berdoa, semoga virus Covid-19 ini segera bisa diatasi, bukan hanya oleh pemerintah, tapi oleh kita semua #SocialDistance, bukan karena mau pilkada, tetapi demi kepentingan seluruh masyarakat Indonesia mewujudkan kehidupan yang sehat, sejahtera, tenteram dan damai.","Positive"
"Mari kita apresiasi semua pihak yg berusaha berkontribusi menyelamatkan bangsa ini dari #Covid_19 dan kesulitan ekonomi krn dampak #lockdown . I don't care politics at the moment. I care more about the safety of our people. #COVID19indonesia","Positive"
"Mari hargai perjuangan pemerintah di garis depan melawan Covid-19. Lihatlah, mereka berada di sana bukan sekadar iba atau pun taat pada sumpah Mereka di sana menyuarakan satu pesan penting bagi kita semua, bahwa ada harapan untuk Indonesia bebas Covid-19
#IndonesiaTanggapCoronapic.twitter.com/wYETD0aZor","Positive"
"Mari dukung Pemerintah dengan WFH dan jangan mudik untuk memutuskan mata rantai penyebaran virus covid-19. @jokowi @BNPB_Indonesia #selasa","Positive"
"Mari bersama sama mencegah wabah Virus COVID-19 dengan menaati himbauan pemerintah Indonesia. https://www.instagram.com/p/B-0nw8OFJ7w/?igshid=vu3ydfpp7uaoÂ â€¦","Positive"
"Manusia2 yang sukanya bilang lockdown Indonesia kayak gitu, macem kurang baca. Lockdown itu gak semudah yang dipikir banyak persiapan, apalagi dampak yang ditimbulkan. Pemerintah juga gak bakal gegabah dng keputusan lockdown kalo liat rakyatnya  begini. Duh.","Positive"
